學年度,學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_馬來西亞華裔青年來台就學輔導及技職研習專班,境外專班
112,大專校院,1,國立政治大學,716,711,177,523,0,1041,99,0,0
112,大專校院,2,國立清華大學,973,644,213,119,172,904,68,0,3
112,大專校院,3,國立臺灣大學,1296,1709,339,1110,710,707,87,0,1
112,大專校院,4,國立臺灣師範大學,600,924,127,374,77,5612,92,0,16
112,大專校院,0004A,國立臺灣師大僑生先修部,0,962,0,0,0,0,0,0,0
112,大專校院,5,國立成功大學,918,956,120,130,50,1109,1,0,0
112,大專校院,6,國立中興大學,423,330,18,65,87,79,29,0,1
112,大專校院,7,國立陽明交通大學,651,523,126,243,211,384,16,0,25
112,大專校院,8,國立中央大學,416,170,30,105,54,82,45,0,0
112,大專校院,9,國立中山大學,368,316,28,232,16,881,38,0,0
112,大專校院,12,國立臺灣海洋大學,163,474,5,2,6,292,21,0,0
112,大專校院,13,國立中正大學,182,234,11,33,134,0,1,0,0
112,大專校院,14,國立高雄師範大學,65,112,6,17,4,205,16,0,26
112,大專校院,15,國立彰化師範大學,77,248,8,6,51,278,50,0,45
112,大專校院,17,國立臺北大學,108,404,13,70,1,0,31,0,0
112,大專校院,18,國立嘉義大學,58,244,2,3,18,72,0,0,0
112,大專校院,19,國立高雄大學,38,211,1,35,3,73,4,0,0
112,大專校院,20,國立東華大學,547,402,11,49,0,35,42,0,0
112,大專校院,21,國立暨南國際大學,91,488,6,10,3,0,1,0,7
112,大專校院,22,國立臺灣科技大學,1033,283,50,111,61,0,19,0,0
112,大專校院,23,國立雲林科技大學,185,167,21,5,0,70,14,0,0
112,大專校院,24,國立屏東科技大學,240,191,0,0,103,181,0,0,0
112,大專校院,25,國立臺北科技大學,514,395,53,88,16,48,7,0,0
112,大專校院,28,國立臺北藝術大學,64,143,32,13,0,0,4,0,0
112,大專校院,29,國立臺灣藝術大學,86,176,66,18,0,0,21,0,0
112,大專校院,30,國立臺東大學,17,42,0,1,2,16,5,0,0
112,大專校院,31,國立宜蘭大學,28,66,0,2,41,0,0,0,0
112,大專校院,32,國立聯合大學,8,48,1,3,23,79,0,0,0
112,大專校院,33,國立虎尾科技大學,79,40,0,14,0,0,0,0,0
112,大專校院,35,國立臺南藝術大學,13,58,10,2,4,0,1,0,0
112,大專校院,36,國立臺南大學,44,112,3,6,0,0,0,0,0
112,大專校院,37,國立臺北教育大學,95,133,3,30,1,62,5,0,0
112,大專校院,39,國立臺中教育大學,83,135,1,5,14,142,3,0,0
112,大專校院,42,國立澎湖科技大學,8,5,0,0,0,0,0,0,0
112,大專校院,43,國立勤益科技大學,525,92,1,18,20,658,0,0,0
112,大專校院,44,國立體育大學,7,57,16,4,0,226,7,0,0
112,大專校院,46,國立臺北護理健康大學,45,99,0,0,20,0,0,0,0
112,大專校院,47,國立高雄餐旅大學,150,172,2,0,12,0,2,0,0
112,大專校院,48,國立金門大學,19,179,11,2,0,318,11,0,0
112,大專校院,49,國立臺灣體育運動大學,19,87,1,0,0,0,3,0,0
112,大專校院,50,國立臺中科技大學,24,242,4,5,21,0,4,0,0
112,大專校院,51,國立臺北商業大學,37,160,3,17,58,0,0,0,10
112,大專校院,52,國立屏東大學,42,91,2,17,0,116,0,0,0
112,大專校院,53,國立高雄科技大學,341,256,5,2,5,0,5,0,0
112,大專校院,144,國立臺灣戲曲學院,0,2,0,0,0,0,1,0,0
112,大專校院,221,國立臺南護理專科學校,1,3,0,0,0,0,0,0,0
112,大專校院,1001,東海大學,567,368,32,60,317,723,35,0,0
112,大專校院,1002,輔仁大學,329,584,122,91,14,283,43,0,0
112,大專校院,1003,東吳大學,126,292,31,118,0,413,283,0,0
112,大專校院,1004,中原大學,524,471,45,39,12,2541,68,0,0
112,大專校院,1005,淡江大學,693,721,53,209,95,2004,20,0,26
112,大專校院,1006,中國文化大學,452,435,29,101,0,2293,209,0,0
112,大專校院,1007,逢甲大學,471,465,40,32,82,391,30,0,0
112,大專校院,1008,靜宜大學,514,124,8,161,104,754,50,0,0
112,大專校院,1009,長庚大學,194,185,7,11,109,0,0,0,0
112,大專校院,1010,元智大學,616,63,13,69,95,0,48,0,3
112,大專校院,1011,中華大學,426,24,3,2,0,25,7,0,0
112,大專校院,1012,大葉大學,113,106,1,9,9,509,1,0,0
112,大專校院,1013,華梵大學,31,40,4,0,0,0,4,0,0
112,大專校院,1014,義守大學,875,486,9,5,0,599,51,0,0
112,大專校院,1015,世新大學,147,302,56,27,0,116,204,0,0
112,大專校院,1016,銘傳大學,1196,795,33,172,17,2265,79,17,3
112,大專校院,1017,實踐大學,239,361,19,47,4,338,24,0,0
112,大專校院,1018,朝陽科技大學,753,157,10,12,0,780,9,0,0
112,大專校院,1019,高雄醫學大學,97,213,5,0,72,0,0,0,0
112,大專校院,1020,南華大學,126,40,0,2,21,284,1,0,0
112,大專校院,1021,真理大學,147,119,0,4,0,0,16,0,0
112,大專校院,1022,大同大學,18,57,15,11,2,0,16,0,0
112,大專校院,1023,南臺科技大學,281,123,3,7,40,124,0,0,0
112,大專校院,1024,崑山科技大學,813,368,4,0,69,1037,6,0,0
112,大專校院,1025,嘉南藥理大學,368,53,0,3,0,0,0,0,0
112,大專校院,1026,樹德科技大學,295,494,2,2,14,106,2,0,28
112,大專校院,1027,慈濟大學,168,55,4,9,64,181,1,0,0
112,大專校院,1028,臺北醫學大學,411,222,1,73,238,0,0,0,0
112,大專校院,1029,中山醫學大學,12,196,6,56,45,0,7,0,0
112,大專校院,1030,龍華科技大學,959,805,0,44,0,999,0,0,17
112,大專校院,1031,輔英科技大學,117,186,0,0,6,278,17,0,0
112,大專校院,1032,明新科技大學,1433,175,0,7,0,698,0,0,0
112,大專校院,1033,長榮大學,173,132,0,35,355,479,0,0,0
112,大專校院,1034,弘光科技大學,96,364,0,3,62,0,40,0,0
112,大專校院,1035,中國醫藥大學,203,324,4,0,107,0,0,0,0
112,大專校院,1036,健行科技大學,1106,113,0,0,0,0,0,0,0
112,大專校院,1037,正修科技大學,223,1012,0,12,7,391,0,0,0
112,大專校院,1038,萬能科技大學,605,248,0,1,10,526,0,0,0
112,大專校院,1039,玄奘大學,79,123,1,0,0,0,10,0,0
112,大專校院,1040,建國科技大學,188,14,0,0,0,157,0,0,0
112,大專校院,1041,明志科技大學,157,15,0,38,40,0,0,0,0
112,大專校院,1042,高苑科技大學,387,62,0,0,0,0,0,0,0
112,大專校院,1043,大仁科技大學,8,129,0,0,9,0,0,0,0
112,大專校院,1044,聖約翰科技大學,66,34,0,0,0,0,0,0,0
112,大專校院,1045,嶺東科技大學,106,40,2,0,5,0,0,0,0
112,大專校院,1046,中國科技大學,211,47,2,4,0,0,0,0,0
112,大專校院,1047,中臺科技大學,14,66,0,0,4,0,0,0,0
112,大專校院,1048,亞洲大學,331,104,13,928,1,711,0,0,0
112,大專校院,1049,開南大學,444,38,0,35,0,958,0,0,0
112,大專校院,1050,佛光大學,71,81,2,1,7,116,27,0,0
112,大專校院,1051,台南應用科技大學,42,71,2,1,1,0,1,0,0
112,大專校院,1052,遠東科技大學,115,25,0,0,0,0,0,0,0
112,大專校院,1053,元培醫事科技大學,216,46,0,0,0,4,3,0,0
112,大專校院,1054,景文科技大學,534,153,0,2,0,0,0,0,0
112,大專校院,1055,中華醫事科技大學,8,15,0,0,0,0,0,0,0
112,大專校院,1056,東南科技大學,604,411,0,0,0,0,0,0,0
112,大專校院,1057,德明財經科技大學,646,15,0,0,0,0,0,0,0
112,大專校院,1058,明道大學,51,35,2,1,0,95,0,0,0
112,大專校院,1060,南開科技大學,315,83,0,2,0,0,0,0,0
112,大專校院,1061,中華科技大學,185,20,0,0,0,70,0,0,0
112,大專校院,1062,僑光科技大學,154,89,0,0,0,0,0,0,0
112,大專校院,1063,育達科技大學,219,1,0,0,21,0,0,0,0
112,大專校院,1064,美和科技大學,11,8,0,0,0,0,0,0,55
112,大專校院,1065,吳鳳科技大學,270,224,0,0,0,300,0,0,0
112,大專校院,1066,環球科技大學,31,9,0,0,0,0,0,0,0
112,大專校院,1069,修平科技大學,353,58,0,0,0,0,0,0,0
112,大專校院,1070,長庚科技大學,0,30,0,0,0,0,0,0,0
112,大專校院,1071,臺北城市科技大學,699,89,0,2,2,261,0,0,0
112,大專校院,1072,敏實科技大學,201,1,0,0,0,0,0,0,0
112,大專校院,1073,醒吾科技大學,757,246,0,0,0,0,0,0,12
112,大專校院,1075,文藻外語大學,244,71,4,122,72,790,2,0,0
112,大專校院,1076,華夏科技大學,103,17,0,0,0,0,0,0,0
112,大專校院,1077,慈濟科技大學,118,27,0,0,4,0,0,0,0
112,大專校院,1078,致理科技大學,220,55,0,2,0,0,4,0,0
112,大專校院,1079,康寧大學,3,0,0,0,11,0,0,0,0
112,大專校院,1080,宏國德霖科技大學,169,33,0,0,0,0,0,0,0
112,大專校院,1081,東方設計大學,37,3,1,0,0,0,0,0,0
112,大專校院,1082,崇右影藝科技大學,48,10,0,0,0,81,0,0,0
112,大專校院,1083,台北海洋科技大學,182,35,0,0,0,0,0,0,0
112,大專校院,1084,亞東科技大學,60,64,0,0,2,0,0,0,0
112,大專校院,1125,中信金融管理學院,26,1,0,0,0,0,0,0,0
112,大專校院,1168,南亞技術學院,1,0,0,0,0,0,0,0,0
112,大專校院,1183,黎明技術學院,581,222,0,0,0,0,0,0,0
112,大專校院,1185,德育護理健康學院,383,152,0,0,0,0,0,0,0
112,大專校院,1188,大同技術學院,1,0,0,0,0,0,0,0,0
112,大專校院,1195,馬偕醫學院,0,15,0,0,0,0,0,0,0
112,大專校院,1196,法鼓文理學院,52,10,1,3,2,0,2,0,0
112,大專校院,1282,馬偕醫護管理專科學校,0,1,0,0,0,0,0,0,0
112,大專校院,1284,樹人醫護管理專科學校,2,0,0,0,0,0,0,0,0
112,大專校院,1286,耕莘健康管理專科學校,1,0,0,0,0,0,0,0,0
112,大專校院,1287,敏惠醫護管理專科學校,1,0,0,0,0,0,0,0,0
112,大專校院,1291,聖母醫護管理專科學校,3,0,0,0,0,0,0,0,0
112,大專校院,3002,臺北市立大學,27,127,13,36,36,0,14,0,0
112,宗教研修學院,1R02,基督教台灣浸會神學院,1,1,0,0,0,0,0,0,0
112,宗教研修學院,1R03,臺北基督學院,1,1,0,0,0,0,0,0,0
112,宗教研修學院,1R04,一貫道天皇學院,2,0,0,0,0,0,0,0,0
112,宗教研修學院,1R05,台灣神學研究學院,2,3,0,0,0,0,0,0,0
112,宗教研修學院,1R06,一貫道崇德學院,6,1,0,0,0,0,0,0,0
112,宗教研修學院,1R08,中華福音神學研究學院,1,0,0,0,0,0,0,0,0
112,軍警大專校院,M104,國防醫學院,0,104,0,0,0,0,0,0,0